Web Search interest
United States; 2004

Interest over time
Week,Travel
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-1%
2004-01-18 - 2004-01-24,-2%
2004-01-25 - 2004-01-31,-6%
2004-02-01 - 2004-02-07,-7%
2004-02-08 - 2004-02-14,+1%
2004-02-15 - 2004-02-21,-2%
2004-02-22 - 2004-02-28,-4%
2004-02-29 - 2004-03-06,-1%
2004-03-07 - 2004-03-13,-2%
2004-03-14 - 2004-03-20,+0%
2004-03-21 - 2004-03-27,-1%
2004-03-28 - 2004-04-03,-4%
2004-04-04 - 2004-04-10,+1%
2004-04-11 - 2004-04-17,-2%
2004-04-18 - 2004-04-24,-2%
2004-04-25 - 2004-05-01,-2%
2004-05-02 - 2004-05-08,+1%
2004-05-09 - 2004-05-15,+5%
2004-05-16 - 2004-05-22,+8%
2004-05-23 - 2004-05-29,+9%
2004-05-30 - 2004-06-05,+8%
2004-06-06 - 2004-06-12,+9%
2004-06-13 - 2004-06-19,+11%
2004-06-20 - 2004-06-26,+14%
2004-06-27 - 2004-07-03,+14%
2004-07-04 - 2004-07-10,+18%
2004-07-11 - 2004-07-17,+18%
2004-07-18 - 2004-07-24,+16%
2004-07-25 - 2004-07-31,+12%
2004-08-01 - 2004-08-07,+15%
2004-08-08 - 2004-08-14,+9%
2004-08-15 - 2004-08-21,+2%
2004-08-22 - 2004-08-28,+0%
2004-08-29 - 2004-09-04,+0%
2004-09-05 - 2004-09-11,-8%
2004-09-12 - 2004-09-18,-8%
2004-09-19 - 2004-09-25,-11%
2004-09-26 - 2004-10-02,-9%
2004-10-03 - 2004-10-09,-8%
2004-10-10 - 2004-10-16,-13%
2004-10-17 - 2004-10-23,-14%
2004-10-24 - 2004-10-30,-16%
2004-10-31 - 2004-11-06,-19%
2004-11-07 - 2004-11-13,-15%
2004-11-14 - 2004-11-20,-14%
2004-11-21 - 2004-11-27,-16%
2004-11-28 - 2004-12-04,-16%
2004-12-05 - 2004-12-11,-21%
2004-12-12 - 2004-12-18,-20%
2004-12-19 - 2004-12-25,-12%
2004-12-26 - 2005-01-01,+0%



Top searches
airlines,100
hotel,85
hotels,60
travel,40
vegas,35
las vegas,35
airline,30
southwest,30
car rental,25
cruise,20
southwest airlines,20
united,20
flights,20
delta,20
american airlines,15
vacation,15
holiday inn,15
expedia,15
hilton,15
marriott,15



Rising searches
independence air,Breakout
great america,+300%
six flags,+300%
cedar point,+200%
laguna beach,+80%
niagra falls,+70%
days inn,+60%
niagara falls,+60%
central park,+50%
priceline,+50%



