Web Search interest
United States; 2004

Interest over time
Week,Science
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+10%
2004-01-18 - 2004-01-24,+6%
2004-01-25 - 2004-01-31,+7%
2004-02-01 - 2004-02-07,+12%
2004-02-08 - 2004-02-14,+13%
2004-02-15 - 2004-02-21,+8%
2004-02-22 - 2004-02-28,+14%
2004-02-29 - 2004-03-06,+14%
2004-03-07 - 2004-03-13,+10%
2004-03-14 - 2004-03-20,+7%
2004-03-21 - 2004-03-27,+1%
2004-03-28 - 2004-04-03,+5%
2004-04-04 - 2004-04-10,+4%
2004-04-11 - 2004-04-17,+5%
2004-04-18 - 2004-04-24,+19%
2004-04-25 - 2004-05-01,+11%
2004-05-02 - 2004-05-08,+12%
2004-05-09 - 2004-05-15,+8%
2004-05-16 - 2004-05-22,+7%
2004-05-23 - 2004-05-29,-4%
2004-05-30 - 2004-06-05,-8%
2004-06-06 - 2004-06-12,-12%
2004-06-13 - 2004-06-19,-20%
2004-06-20 - 2004-06-26,-21%
2004-06-27 - 2004-07-03,-25%
2004-07-04 - 2004-07-10,-25%
2004-07-11 - 2004-07-17,-21%
2004-07-18 - 2004-07-24,-21%
2004-07-25 - 2004-07-31,-24%
2004-08-01 - 2004-08-07,-25%
2004-08-08 - 2004-08-14,-25%
2004-08-15 - 2004-08-21,-24%
2004-08-22 - 2004-08-28,-15%
2004-08-29 - 2004-09-04,-7%
2004-09-05 - 2004-09-11,-5%
2004-09-12 - 2004-09-18,+4%
2004-09-19 - 2004-09-25,+8%
2004-09-26 - 2004-10-02,+18%
2004-10-03 - 2004-10-09,+15%
2004-10-10 - 2004-10-16,+6%
2004-10-17 - 2004-10-23,+10%
2004-10-24 - 2004-10-30,+15%
2004-10-31 - 2004-11-06,-1%
2004-11-07 - 2004-11-13,+0%
2004-11-14 - 2004-11-20,+8%
2004-11-21 - 2004-11-27,-14%
2004-11-28 - 2004-12-04,+4%
2004-12-05 - 2004-12-11,+6%
2004-12-12 - 2004-12-18,-2%
2004-12-19 - 2004-12-25,-33%
2004-12-26 - 2005-01-01,-38%



Top searches
science,100
math,70
earth,35
engineering,35
chemistry,35
physics,35
biology,30
animals,30
periodic table,25
moon,25
science fair,25
dna,20
science projects,20
help,20
mars,20
ocean,20
spider,15
brain,15
algebra,15
robot,15



Rising searches
cicadas,Breakout
lunar eclipse,Breakout
cicada,+850%
mt st helens,+600%
earth day,+450%
brown recluse,+200%
brown recluse spider,+200%
spiders,+170%
spider,+160%
ants,+100%



