Web Search interest
United States; 2004

Interest over time
Week,Health
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+0%
2004-01-18 - 2004-01-24,+4%
2004-01-25 - 2004-01-31,+0%
2004-02-01 - 2004-02-07,+0%
2004-02-08 - 2004-02-14,+2%
2004-02-15 - 2004-02-21,+4%
2004-02-22 - 2004-02-28,+5%
2004-02-29 - 2004-03-06,+2%
2004-03-07 - 2004-03-13,+0%
2004-03-14 - 2004-03-20,+3%
2004-03-21 - 2004-03-27,+0%
2004-03-28 - 2004-04-03,+5%
2004-04-04 - 2004-04-10,+4%
2004-04-11 - 2004-04-17,+2%
2004-04-18 - 2004-04-24,+9%
2004-04-25 - 2004-05-01,+8%
2004-05-02 - 2004-05-08,+5%
2004-05-09 - 2004-05-15,+0%
2004-05-16 - 2004-05-22,+2%
2004-05-23 - 2004-05-29,+0%
2004-05-30 - 2004-06-05,-4%
2004-06-06 - 2004-06-12,+0%
2004-06-13 - 2004-06-19,+0%
2004-06-20 - 2004-06-26,+1%
2004-06-27 - 2004-07-03,-2%
2004-07-04 - 2004-07-10,-1%
2004-07-11 - 2004-07-17,+2%
2004-07-18 - 2004-07-24,+1%
2004-07-25 - 2004-07-31,+1%
2004-08-01 - 2004-08-07,-2%
2004-08-08 - 2004-08-14,-2%
2004-08-15 - 2004-08-21,+2%
2004-08-22 - 2004-08-28,-2%
2004-08-29 - 2004-09-04,-3%
2004-09-05 - 2004-09-11,-3%
2004-09-12 - 2004-09-18,+0%
2004-09-19 - 2004-09-25,+1%
2004-09-26 - 2004-10-02,+4%
2004-10-03 - 2004-10-09,+7%
2004-10-10 - 2004-10-16,+2%
2004-10-17 - 2004-10-23,+5%
2004-10-24 - 2004-10-30,+3%
2004-10-31 - 2004-11-06,+2%
2004-11-07 - 2004-11-13,+1%
2004-11-14 - 2004-11-20,+8%
2004-11-21 - 2004-11-27,-5%
2004-11-28 - 2004-12-04,+8%
2004-12-05 - 2004-12-11,+3%
2004-12-12 - 2004-12-18,-3%
2004-12-19 - 2004-12-25,-14%
2004-12-26 - 2005-01-01,-12%



Top searches
health,100
medical,100
symptoms,65
heart,30
drugs,25
diabetes,20
marijuana,20
aids,20
depression,15
nutrition,15
smoking,15
calories,15
dictionary,15
blood pressure,15
herpes,15
atkins,10
breast cancer,10
doctors,10
webmd,10
dentist,10



Rising searches
cymbalta,Breakout
severina vuckovic,Breakout
world aids day,Breakout
west nile virus,+200%
stem cell research,+150%
lyme disease,+80%
panda,+80%
crestor,+60%
allegra,+50%
bipolar disorder,+40%



