Web Search interest
United States; 2011

Interest over time
Week,Real Estate
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-6%
2011-01-16 - 2011-01-22,-2%
2011-01-23 - 2011-01-29,-3%
2011-01-30 - 2011-02-05,-6%
2011-02-06 - 2011-02-12,-6%
2011-02-13 - 2011-02-19,-4%
2011-02-20 - 2011-02-26,-1%
2011-02-27 - 2011-03-05,-1%
2011-03-06 - 2011-03-12,-1%
2011-03-13 - 2011-03-19,-1%
2011-03-20 - 2011-03-26,-1%
2011-03-27 - 2011-04-02,+1%
2011-04-03 - 2011-04-09,+1%
2011-04-10 - 2011-04-16,+0%
2011-04-17 - 2011-04-23,-1%
2011-04-24 - 2011-04-30,-2%
2011-05-01 - 2011-05-07,-3%
2011-05-08 - 2011-05-14,+0%
2011-05-15 - 2011-05-21,+1%
2011-05-22 - 2011-05-28,+3%
2011-05-29 - 2011-06-04,+4%
2011-06-05 - 2011-06-11,+2%
2011-06-12 - 2011-06-18,+4%
2011-06-19 - 2011-06-25,+9%
2011-06-26 - 2011-07-02,+8%
2011-07-03 - 2011-07-09,+10%
2011-07-10 - 2011-07-16,+7%
2011-07-17 - 2011-07-23,+11%
2011-07-24 - 2011-07-30,+7%
2011-07-31 - 2011-08-06,+6%
2011-08-07 - 2011-08-13,+2%
2011-08-14 - 2011-08-20,+3%
2011-08-21 - 2011-08-27,-2%
2011-08-28 - 2011-09-03,-4%
2011-09-04 - 2011-09-10,-10%
2011-09-11 - 2011-09-17,-9%
2011-09-18 - 2011-09-24,-12%
2011-09-25 - 2011-10-01,-9%
2011-10-02 - 2011-10-08,-9%
2011-10-09 - 2011-10-15,-11%
2011-10-16 - 2011-10-22,-12%
2011-10-23 - 2011-10-29,-13%
2011-10-30 - 2011-11-05,-16%
2011-11-06 - 2011-11-12,-16%
2011-11-13 - 2011-11-19,-18%
2011-11-20 - 2011-11-26,-28%
2011-11-27 - 2011-12-03,-19%
2011-12-04 - 2011-12-10,-23%
2011-12-11 - 2011-12-17,-22%
2011-12-18 - 2011-12-24,-22%
2011-12-25 - 2011-12-31,-11%



Top searches
apartments,100
rent,95
homes,85
for rent,75
real,75
real estate,65
house,50
houses,50
rentals,50
realty,40
florida,40
homes for sale,35
home,30
zillow,25
housing,20
houses for rent,20
realtor,20
apartments for rent,20
houses for sale,20
homes for rent,20



Rising searches
limitless,Breakout
trulia,+90%
zillow,+80%
craigslist ny,+70%
realtor,+50%
roommate,+50%
redfin,+40%
vrbo,+40%



