Web Search interest
United States; 2006

Interest over time
Week,Online Communities
2006-01-01 - 2006-01-07,+0%
2006-01-08 - 2006-01-14,-10%
2006-01-15 - 2006-01-21,-4%
2006-01-22 - 2006-01-28,-6%
2006-01-29 - 2006-02-04,-7%
2006-02-05 - 2006-02-11,-6%
2006-02-12 - 2006-02-18,-4%
2006-02-19 - 2006-02-25,-1%
2006-02-26 - 2006-03-04,-7%
2006-03-05 - 2006-03-11,-1%
2006-03-12 - 2006-03-18,-3%
2006-03-19 - 2006-03-25,-4%
2006-03-26 - 2006-04-01,+0%
2006-04-02 - 2006-04-08,-1%
2006-04-09 - 2006-04-15,+6%
2006-04-16 - 2006-04-22,+4%
2006-04-23 - 2006-04-29,-1%
2006-04-30 - 2006-05-06,+0%
2006-05-07 - 2006-05-13,+6%
2006-05-14 - 2006-05-20,+3%
2006-05-21 - 2006-05-27,+6%
2006-05-28 - 2006-06-03,+13%
2006-06-04 - 2006-06-10,+13%
2006-06-11 - 2006-06-17,+12%
2006-06-18 - 2006-06-24,+19%
2006-06-25 - 2006-07-01,+21%
2006-07-02 - 2006-07-08,+22%
2006-07-09 - 2006-07-15,+18%
2006-07-16 - 2006-07-22,+21%
2006-07-23 - 2006-07-29,+26%
2006-07-30 - 2006-08-05,+19%
2006-08-06 - 2006-08-12,+18%
2006-08-13 - 2006-08-19,+22%
2006-08-20 - 2006-08-26,+21%
2006-08-27 - 2006-09-02,+21%
2006-09-03 - 2006-09-09,+21%
2006-09-10 - 2006-09-16,+18%
2006-09-17 - 2006-09-23,+16%
2006-09-24 - 2006-09-30,+18%
2006-10-01 - 2006-10-07,+19%
2006-10-08 - 2006-10-14,+18%
2006-10-15 - 2006-10-21,+21%
2006-10-22 - 2006-10-28,+16%
2006-10-29 - 2006-11-04,+19%
2006-11-05 - 2006-11-11,+19%
2006-11-12 - 2006-11-18,+16%
2006-11-19 - 2006-11-25,+34%
2006-11-26 - 2006-12-02,+19%
2006-12-03 - 2006-12-09,+21%
2006-12-10 - 2006-12-16,+19%
2006-12-17 - 2006-12-23,+32%
2006-12-24 - 2006-12-30,+47%
2006-12-31 - 2007-01-06,+31%



Top searches
myspace,100
layouts,20
myspace layouts,15
my space,15
icons,5
facebook,5
chat,5
torrent,5
backgrounds,5
dating,5
wallpaper,5
yahoo,5
clip art,5
limewire,5
myspace codes,5
myspace layout,5
myspace backgrounds,5
google,5
photobucket,5
aim,5



Rising searches
myspace comments,+1,600%
myspace graphics,+700%
myspace layout,+650%
myspace layouts,+350%
layouts,+300%
myspace,+250%
myspace backgrounds,+250%
myspace codes,+250%
video google,+200%
my space,+130%



