Image Search interest
United States; 2011

Interest over time
Week,Arts & Entertainment
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-4%
2011-01-16 - 2011-01-22,-2%
2011-01-23 - 2011-01-29,-5%
2011-01-30 - 2011-02-05,-4%
2011-02-06 - 2011-02-12,-9%
2011-02-13 - 2011-02-19,-5%
2011-02-20 - 2011-02-26,-8%
2011-02-27 - 2011-03-05,-5%
2011-03-06 - 2011-03-12,-7%
2011-03-13 - 2011-03-19,-4%
2011-03-20 - 2011-03-26,-3%
2011-03-27 - 2011-04-02,-6%
2011-04-03 - 2011-04-09,-6%
2011-04-10 - 2011-04-16,-10%
2011-04-17 - 2011-04-23,-7%
2011-04-24 - 2011-04-30,-6%
2011-05-01 - 2011-05-07,-13%
2011-05-08 - 2011-05-14,-8%
2011-05-15 - 2011-05-21,-6%
2011-05-22 - 2011-05-28,-9%
2011-05-29 - 2011-06-04,-6%
2011-06-05 - 2011-06-11,-7%
2011-06-12 - 2011-06-18,-5%
2011-06-19 - 2011-06-25,-7%
2011-06-26 - 2011-07-02,-4%
2011-07-03 - 2011-07-09,-5%
2011-07-10 - 2011-07-16,-4%
2011-07-17 - 2011-07-23,-4%
2011-07-24 - 2011-07-30,+0%
2011-07-31 - 2011-08-06,-1%
2011-08-07 - 2011-08-13,-3%
2011-08-14 - 2011-08-20,-3%
2011-08-21 - 2011-08-27,-7%
2011-08-28 - 2011-09-03,-3%
2011-09-04 - 2011-09-10,-6%
2011-09-11 - 2011-09-17,-9%
2011-09-18 - 2011-09-24,-11%
2011-09-25 - 2011-10-01,-11%
2011-10-02 - 2011-10-08,-11%
2011-10-09 - 2011-10-15,-8%
2011-10-16 - 2011-10-22,-6%
2011-10-23 - 2011-10-29,-4%
2011-10-30 - 2011-11-05,-3%
2011-11-06 - 2011-11-12,-8%
2011-11-13 - 2011-11-19,-8%
2011-11-20 - 2011-11-26,-6%
2011-11-27 - 2011-12-03,-9%
2011-12-04 - 2011-12-10,-10%
2011-12-11 - 2011-12-17,-9%
2011-12-18 - 2011-12-24,-8%
2011-12-25 - 2011-12-31,-2%



Top searches
pictures,100
funny,60
art,40
selena gomez,35
nicki minaj,35
love,30
anime,30
music,25
miley cyrus,25
lady gaga,20
justin bieber,20
funny pictures,20
lil wayne,20
chris brown,15
rihanna,15
katy perry,15
photography,15
megan fox,15
spongebob,15
wiz khalifa,10



Rising searches
adele,+1,600%
amber rose,+300%
wiz khalifa,+250%
mila kunis,+200%
chris brown,+150%
natalie portman,+120%
scarlett johansson,+120%
anne hathaway,+90%
lindsay lohan,+60%
selena gomez,+50%



