Web Search interest
United States; 2010

Interest over time
Week,Law & Government
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+2%
2010-01-17 - 2010-01-23,+3%
2010-01-24 - 2010-01-30,+6%
2010-01-31 - 2010-02-06,+2%
2010-02-07 - 2010-02-13,-2%
2010-02-14 - 2010-02-20,-2%
2010-02-21 - 2010-02-27,+3%
2010-02-28 - 2010-03-06,+8%
2010-03-07 - 2010-03-13,+7%
2010-03-14 - 2010-03-20,+4%
2010-03-21 - 2010-03-27,+12%
2010-03-28 - 2010-04-03,+1%
2010-04-04 - 2010-04-10,+3%
2010-04-11 - 2010-04-17,+6%
2010-04-18 - 2010-04-24,+4%
2010-04-25 - 2010-05-01,+7%
2010-05-02 - 2010-05-08,+7%
2010-05-09 - 2010-05-15,+4%
2010-05-16 - 2010-05-22,+4%
2010-05-23 - 2010-05-29,-1%
2010-05-30 - 2010-06-05,-2%
2010-06-06 - 2010-06-12,+3%
2010-06-13 - 2010-06-19,+2%
2010-06-20 - 2010-06-26,+6%
2010-06-27 - 2010-07-03,+3%
2010-07-04 - 2010-07-10,-2%
2010-07-11 - 2010-07-17,-2%
2010-07-18 - 2010-07-24,-1%
2010-07-25 - 2010-07-31,-1%
2010-08-01 - 2010-08-07,-2%
2010-08-08 - 2010-08-14,-4%
2010-08-15 - 2010-08-21,-1%
2010-08-22 - 2010-08-28,-4%
2010-08-29 - 2010-09-04,-2%
2010-09-05 - 2010-09-11,-6%
2010-09-12 - 2010-09-18,+0%
2010-09-19 - 2010-09-25,-1%
2010-09-26 - 2010-10-02,+1%
2010-10-03 - 2010-10-09,-1%
2010-10-10 - 2010-10-16,-2%
2010-10-17 - 2010-10-23,-1%
2010-10-24 - 2010-10-30,-1%
2010-10-31 - 2010-11-06,+4%
2010-11-07 - 2010-11-13,+2%
2010-11-14 - 2010-11-20,+2%
2010-11-21 - 2010-11-27,-15%
2010-11-28 - 2010-12-04,+0%
2010-12-05 - 2010-12-11,-3%
2010-12-12 - 2010-12-18,-6%
2010-12-19 - 2010-12-25,-18%
2010-12-26 - 2011-01-01,-21%



Top searches
mapquest,100
unemployment,45
police,35
driving directions,35
mapquest directions,25
army,25
mapquest driving directions,25
obama,20
navy,15
fire,15
act,15
visa,15
immigration,10
air force,10
passport,10
map quest,10
health care,10
child support,10
ako,10
maps,10



Rising searches
arizona immigration law,Breakout
blog del narco,Breakout
unemployment extension 2010,Breakout
van der sloot,Breakout
dream act,+350%
unemployment extension,+300%
tylenol recall,+250%
registraduria nacional,+120%
14th amendment,+60%
health care bill,+60%



