Web Search interest
United States; 2005

Interest over time
Week,Science
2005-01-02 - 2005-01-08,+0%
2005-01-09 - 2005-01-15,+17%
2005-01-16 - 2005-01-22,+10%
2005-01-23 - 2005-01-29,+19%
2005-01-30 - 2005-02-05,+22%
2005-02-06 - 2005-02-12,+20%
2005-02-13 - 2005-02-19,+20%
2005-02-20 - 2005-02-26,+15%
2005-02-27 - 2005-03-05,+19%
2005-03-06 - 2005-03-12,+19%
2005-03-13 - 2005-03-19,+16%
2005-03-20 - 2005-03-26,+7%
2005-03-27 - 2005-04-02,+6%
2005-04-03 - 2005-04-09,+12%
2005-04-10 - 2005-04-16,+17%
2005-04-17 - 2005-04-23,+20%
2005-04-24 - 2005-04-30,+20%
2005-05-01 - 2005-05-07,+17%
2005-05-08 - 2005-05-14,+16%
2005-05-15 - 2005-05-21,+11%
2005-05-22 - 2005-05-28,+6%
2005-05-29 - 2005-06-04,-5%
2005-06-05 - 2005-06-11,-2%
2005-06-12 - 2005-06-18,-10%
2005-06-19 - 2005-06-25,-12%
2005-06-26 - 2005-07-02,-17%
2005-07-03 - 2005-07-09,-19%
2005-07-10 - 2005-07-16,-19%
2005-07-17 - 2005-07-23,-17%
2005-07-24 - 2005-07-30,-19%
2005-07-31 - 2005-08-06,-15%
2005-08-07 - 2005-08-13,-14%
2005-08-14 - 2005-08-20,-20%
2005-08-21 - 2005-08-27,-11%
2005-08-28 - 2005-09-03,-2%
2005-09-04 - 2005-09-10,+4%
2005-09-11 - 2005-09-17,+15%
2005-09-18 - 2005-09-24,+20%
2005-09-25 - 2005-10-01,+20%
2005-10-02 - 2005-10-08,+20%
2005-10-09 - 2005-10-15,+20%
2005-10-16 - 2005-10-22,+23%
2005-10-23 - 2005-10-29,+20%
2005-10-30 - 2005-11-05,+17%
2005-11-06 - 2005-11-12,+14%
2005-11-13 - 2005-11-19,+15%
2005-11-20 - 2005-11-26,-11%
2005-11-27 - 2005-12-03,+14%
2005-12-04 - 2005-12-10,+12%
2005-12-11 - 2005-12-17,+4%
2005-12-18 - 2005-12-24,-21%
2005-12-25 - 2005-12-31,-41%



Top searches
science,100
math,75
earth,30
chemistry,30
physics,30
biology,30
periodic table,25
animals,25
moon,25
dna,25
science fair,20
help,20
acid,20
science projects,15
brain,15
algebra,15
ocean,15
evolution,15
planets,15
autocad,15



Rising searches
ajax,+1,000%
g4tv,+150%
animal behavior,+140%
firefly,+130%
steve jobs,+80%
boinc,+70%
g4 tv,+70%
ruby,+60%
bed bugs,+50%
math facts,+50%



