Web Search interest
United States; 2005

Interest over time
Week,Pets & Animals
2005-01-02 - 2005-01-08,+0%
2005-01-09 - 2005-01-15,-1%
2005-01-16 - 2005-01-22,+2%
2005-01-23 - 2005-01-29,+1%
2005-01-30 - 2005-02-05,+1%
2005-02-06 - 2005-02-12,+1%
2005-02-13 - 2005-02-19,+15%
2005-02-20 - 2005-02-26,+2%
2005-02-27 - 2005-03-05,+5%
2005-03-06 - 2005-03-12,+6%
2005-03-13 - 2005-03-19,+3%
2005-03-20 - 2005-03-26,+3%
2005-03-27 - 2005-04-02,+5%
2005-04-03 - 2005-04-09,+8%
2005-04-10 - 2005-04-16,+6%
2005-04-17 - 2005-04-23,+13%
2005-04-24 - 2005-04-30,+10%
2005-05-01 - 2005-05-07,+13%
2005-05-08 - 2005-05-14,+14%
2005-05-15 - 2005-05-21,+11%
2005-05-22 - 2005-05-28,+6%
2005-05-29 - 2005-06-04,+7%
2005-06-05 - 2005-06-11,+3%
2005-06-12 - 2005-06-18,+0%
2005-06-19 - 2005-06-25,+2%
2005-06-26 - 2005-07-02,+3%
2005-07-03 - 2005-07-09,+7%
2005-07-10 - 2005-07-16,+3%
2005-07-17 - 2005-07-23,+1%
2005-07-24 - 2005-07-30,+1%
2005-07-31 - 2005-08-06,+2%
2005-08-07 - 2005-08-13,-5%
2005-08-14 - 2005-08-20,+0%
2005-08-21 - 2005-08-27,+0%
2005-08-28 - 2005-09-03,-6%
2005-09-04 - 2005-09-10,-1%
2005-09-11 - 2005-09-17,+1%
2005-09-18 - 2005-09-24,-2%
2005-09-25 - 2005-10-01,+1%
2005-10-02 - 2005-10-08,+3%
2005-10-09 - 2005-10-15,+1%
2005-10-16 - 2005-10-22,-2%
2005-10-23 - 2005-10-29,-6%
2005-10-30 - 2005-11-05,+0%
2005-11-06 - 2005-11-12,+0%
2005-11-13 - 2005-11-19,-2%
2005-11-20 - 2005-11-26,+0%
2005-11-27 - 2005-12-03,+2%
2005-12-04 - 2005-12-10,+0%
2005-12-11 - 2005-12-17,-5%
2005-12-18 - 2005-12-24,+0%
2005-12-25 - 2005-12-31,-3%



Top searches
dog,100
dogs,45
animal,35
cat,35
fish,25
puppies,25
cats,20
horse,20
neopets,20
puppy,15
horses,15
animals,10
birds,10
pets,10
humane society,10
snake,10
adoption,10
tiger,5
dog breeds,5
petsmart,5



Rising searches
ugliest dog,Breakout
worlds ugliest dog,Breakout
panda cam,+650%
puggle,+600%
dog whisperer,+400%
liger,+350%
national zoo,+170%
magical trevor,+120%
funny t-shirts,+50%
yorkie,+40%



