Web Search interest
United States; 2011

Interest over time
Week,Business & Industrial
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-3%
2011-01-16 - 2011-01-22,-2%
2011-01-23 - 2011-01-29,-1%
2011-01-30 - 2011-02-05,+2%
2011-02-06 - 2011-02-12,+1%
2011-02-13 - 2011-02-19,+5%
2011-02-20 - 2011-02-26,+2%
2011-02-27 - 2011-03-05,+8%
2011-03-06 - 2011-03-12,-1%
2011-03-13 - 2011-03-19,+5%
2011-03-20 - 2011-03-26,+3%
2011-03-27 - 2011-04-02,+3%
2011-04-03 - 2011-04-09,+3%
2011-04-10 - 2011-04-16,+8%
2011-04-17 - 2011-04-23,+3%
2011-04-24 - 2011-04-30,+5%
2011-05-01 - 2011-05-07,-1%
2011-05-08 - 2011-05-14,+0%
2011-05-15 - 2011-05-21,-2%
2011-05-22 - 2011-05-28,-2%
2011-05-29 - 2011-06-04,-1%
2011-06-05 - 2011-06-11,+0%
2011-06-12 - 2011-06-18,+2%
2011-06-19 - 2011-06-25,-1%
2011-06-26 - 2011-07-02,+3%
2011-07-03 - 2011-07-09,+1%
2011-07-10 - 2011-07-16,+2%
2011-07-17 - 2011-07-23,+2%
2011-07-24 - 2011-07-30,-1%
2011-07-31 - 2011-08-06,+4%
2011-08-07 - 2011-08-13,+1%
2011-08-14 - 2011-08-20,+2%
2011-08-21 - 2011-08-27,+1%
2011-08-28 - 2011-09-03,+3%
2011-09-04 - 2011-09-10,-3%
2011-09-11 - 2011-09-17,+1%
2011-09-18 - 2011-09-24,+1%
2011-09-25 - 2011-10-01,+4%
2011-10-02 - 2011-10-08,+1%
2011-10-09 - 2011-10-15,-3%
2011-10-16 - 2011-10-22,+2%
2011-10-23 - 2011-10-29,+2%
2011-10-30 - 2011-11-05,+0%
2011-11-06 - 2011-11-12,-3%
2011-11-13 - 2011-11-19,-4%
2011-11-20 - 2011-11-26,-15%
2011-11-27 - 2011-12-03,-2%
2011-12-04 - 2011-12-10,-2%
2011-12-11 - 2011-12-17,-3%
2011-12-18 - 2011-12-24,-12%
2011-12-25 - 2011-12-31,-20%



Top searches
ups,100
usps,100
business,80
water,75
new,75
fedex,65
paypal,45
oil,40
staples,35
storage,35
post office,30
ups tracking,30
fb,30
office depot,25
fabric,25
usps tracking,20
fa,20
recycling,20
walmart,20
access,20



Rising searches
banners,+400%
kroger,+70%
dow jones,+60%
fed ex,+60%
uhaul,+60%
cnbc,+50%
fa,+50%
fb,+50%
safeway,+50%
adp,+40%



