Web Search interest
United States; 2006

Interest over time
Week,Autos & Vehicles
2006-01-01 - 2006-01-07,+0%
2006-01-08 - 2006-01-14,+6%
2006-01-15 - 2006-01-21,+1%
2006-01-22 - 2006-01-28,+4%
2006-01-29 - 2006-02-04,+4%
2006-02-05 - 2006-02-11,+2%
2006-02-12 - 2006-02-18,+0%
2006-02-19 - 2006-02-25,+4%
2006-02-26 - 2006-03-04,+2%
2006-03-05 - 2006-03-11,+5%
2006-03-12 - 2006-03-18,+7%
2006-03-19 - 2006-03-25,+7%
2006-03-26 - 2006-04-01,+6%
2006-04-02 - 2006-04-08,+7%
2006-04-09 - 2006-04-15,+12%
2006-04-16 - 2006-04-22,+17%
2006-04-23 - 2006-04-29,+17%
2006-04-30 - 2006-05-06,+16%
2006-05-07 - 2006-05-13,+13%
2006-05-14 - 2006-05-20,+13%
2006-05-21 - 2006-05-27,+15%
2006-05-28 - 2006-06-03,+17%
2006-06-04 - 2006-06-10,+15%
2006-06-11 - 2006-06-17,+20%
2006-06-18 - 2006-06-24,+21%
2006-06-25 - 2006-07-01,+18%
2006-07-02 - 2006-07-08,+22%
2006-07-09 - 2006-07-15,+18%
2006-07-16 - 2006-07-22,+20%
2006-07-23 - 2006-07-29,+22%
2006-07-30 - 2006-08-05,+20%
2006-08-06 - 2006-08-12,+20%
2006-08-13 - 2006-08-19,+17%
2006-08-20 - 2006-08-26,+17%
2006-08-27 - 2006-09-02,+11%
2006-09-03 - 2006-09-09,+9%
2006-09-10 - 2006-09-16,+7%
2006-09-17 - 2006-09-23,+4%
2006-09-24 - 2006-09-30,+7%
2006-10-01 - 2006-10-07,+5%
2006-10-08 - 2006-10-14,+4%
2006-10-15 - 2006-10-21,+2%
2006-10-22 - 2006-10-28,+1%
2006-10-29 - 2006-11-04,-2%
2006-11-05 - 2006-11-11,-2%
2006-11-12 - 2006-11-18,-4%
2006-11-19 - 2006-11-25,+0%
2006-11-26 - 2006-12-02,-4%
2006-12-03 - 2006-12-09,-6%
2006-12-10 - 2006-12-16,-4%
2006-12-17 - 2006-12-23,-4%
2006-12-24 - 2006-12-30,+2%
2006-12-31 - 2007-01-06,-1%



Top searches
car,100
honda,80
auto,80
ford,70
cars,70
toyota,65
dmv,40
dodge,35
motorcycle,35
blue book,35
nissan,35
bmw,35
chevy,30
tires,30
jeep,25
chevrolet,20
mustang,20
kelly blue book,20
used cars,20
yamaha,20



Rising searches
yaris,+1,000%
honda fit,+850%
dodge challenger,+400%
fj cruiser,+400%
break,+180%
smart car,+60%
ebaymotors,+40%
garmin,+40%
honda crv,+40%
tomtom,+40%



