Web Search interest
United States; 2012

Interest over time
Week,Books & Literature
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+9%
2012-01-15 - 2012-01-21,+9%
2012-01-22 - 2012-01-28,+9%
2012-01-29 - 2012-02-04,+12%
2012-02-05 - 2012-02-11,+12%
2012-02-12 - 2012-02-18,+13%
2012-02-19 - 2012-02-25,+11%
2012-02-26 - 2012-03-03,+18%
2012-03-04 - 2012-03-10,+13%
2012-03-11 - 2012-03-17,+5%
2012-03-18 - 2012-03-24,+9%
2012-03-25 - 2012-03-31,+7%
2012-04-01 - 2012-04-07,+6%
2012-04-08 - 2012-04-14,+5%
2012-04-15 - 2012-04-21,+11%
2012-04-22 - 2012-04-28,+13%
2012-04-29 - 2012-05-05,+12%
2012-05-06 - 2012-05-12,+14%
2012-05-13 - 2012-05-19,+7%
2012-05-20 - 2012-05-26,+4%
2012-05-27 - 2012-06-02,-1%
2012-06-03 - 2012-06-09,+1%
2012-06-10 - 2012-06-16,-12%
2012-06-17 - 2012-06-23,-14%
2012-06-24 - 2012-06-30,-16%
2012-07-01 - 2012-07-07,-20%
2012-07-08 - 2012-07-14,-12%
2012-07-15 - 2012-07-21,-14%
2012-07-22 - 2012-07-28,-14%
2012-07-29 - 2012-08-04,-16%
2012-08-05 - 2012-08-11,-15%
2012-08-12 - 2012-08-18,-15%
2012-08-19 - 2012-08-25,-7%
2012-08-26 - 2012-09-01,-4%
2012-09-02 - 2012-09-08,+0%
2012-09-09 - 2012-09-15,+6%
2012-09-16 - 2012-09-22,+4%
2012-09-23 - 2012-09-29,+5%
2012-09-30 - 2012-10-06,+5%
2012-10-07 - 2012-10-13,+4%
2012-10-14 - 2012-10-20,+7%
2012-10-21 - 2012-10-27,+8%
2012-10-28 - 2012-11-03,-2%
2012-11-04 - 2012-11-10,+0%
2012-11-11 - 2012-11-17,+6%
2012-11-18 - 2012-11-24,-2%
2012-11-25 - 2012-12-01,+11%
2012-12-02 - 2012-12-08,+8%
2012-12-09 - 2012-12-15,+12%
2012-12-16 - 2012-12-22,-4%
2012-12-23 - 2012-12-29,-15%
2012-12-30 - 2013-01-05,-9%



Top searches
quotes,100
book,30
books,30
love quotes,10
poems,10
sparknotes,10
quote,10
fanfiction,10
citation,5
life quotes,5
game of thrones,5
barnes,5
harry potter,5
funny quotes,5
barnes and noble,5
quotes about life,5
tumblr,5
poetry,5
sayings,5
amazon books,5



Rising searches
life of pi,+700%
the lorax,+700%
tumblr quotes,+500%
tumblr,+400%
goodreads,+110%
fanfic,+80%
game of thrones,+80%
dr seuss,+70%
easybib,+60%
fanfiction,+60%



