Web Search interest
United States; 2014

Interest over time
Week,Sports
2014-01-05 - 2014-01-11,+0%
2014-01-12 - 2014-01-18,-5%
2014-01-19 - 2014-01-25,+0%
2014-01-26 - 2014-02-01,-15%
2014-02-02 - 2014-02-08,+13%
2014-02-09 - 2014-02-15,-2%
2014-02-16 - 2014-02-22,+7%
2014-02-23 - 2014-03-01,-9%
2014-03-02 - 2014-03-08,-18%
2014-03-09 - 2014-03-15,-9%
2014-03-16 - 2014-03-22,+2%
2014-03-23 - 2014-03-29,-5%
2014-03-30 - 2014-04-05,-5%
2014-04-06 - 2014-04-12,+0%
2014-04-13 - 2014-04-19,-9%
2014-04-20 - 2014-04-26,-2%
2014-04-27 - 2014-05-03,+2%
2014-05-04 - 2014-05-10,+7%
2014-05-11 - 2014-05-17,-7%
2014-05-18 - 2014-05-24,-13%
2014-05-25 - 2014-05-31,-7%
2014-06-01 - 2014-06-07,-7%
2014-06-08 - 2014-06-14,+16%
2014-06-15 - 2014-06-21,+27%
2014-06-22 - 2014-06-28,+22%
2014-06-29 - 2014-07-05,+13%
2014-07-06 - 2014-07-12,+13%
2014-07-13 - 2014-07-19,-4%
2014-07-20 - 2014-07-26,-15%
2014-07-27 - 2014-08-02,-13%
2014-08-03 - 2014-08-09,-9%
2014-08-10 - 2014-08-16,-9%
2014-08-17 - 2014-08-23,-4%
2014-08-24 - 2014-08-30,+5%
2014-08-31 - 2014-09-06,+13%
2014-09-07 - 2014-09-13,+16%
2014-09-14 - 2014-09-20,+82%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 
2014-10-05 - 2014-10-11, 
2014-10-12 - 2014-10-18, 
2014-10-19 - 2014-10-25, 
2014-10-26 - 2014-11-01, 
2014-11-02 - 2014-11-08, 
2014-11-09 - 2014-11-15, 
2014-11-16 - 2014-11-22, 
2014-11-23 - 2014-11-29, 
2014-11-30 - 2014-12-06, 
2014-12-07 - 2014-12-13, 
2014-12-14 - 2014-12-20, 
2014-12-21 - 2014-12-27, 
2014-12-28 - 2015-01-03, 



Top searches
football,100
espn,95
world cup,90
basketball,85
nba,75
nfl,70
sports,50
soccer,50
news,35
mlb,30
ncaa,30
olympics,30
2014 world cup,25
wwe,25
super bowl,25
time,20
nhl,20
yahoo,15
seahawks,15
nascar,15



Rising searches
world cup schedule,+4,450%
2014 world cup,+1,400%
olympics 2014,+1,350%
world cup,+1,350%
fifa world cup,+1,250%
super bowl 2014,+600%
olympics,+500%
seahawks,+70%
lebron james,+60%
ncaa basketball,+60%



