Web Search interest
United States; 2005

Interest over time
Week,Sports
2005-01-02 - 2005-01-08,+0%
2005-01-09 - 2005-01-15,-6%
2005-01-16 - 2005-01-22,-4%
2005-01-23 - 2005-01-29,+0%
2005-01-30 - 2005-02-05,-1%
2005-02-06 - 2005-02-12,+1%
2005-02-13 - 2005-02-19,-2%
2005-02-20 - 2005-02-26,-2%
2005-02-27 - 2005-03-05,-2%
2005-03-06 - 2005-03-12,+7%
2005-03-13 - 2005-03-19,+18%
2005-03-20 - 2005-03-26,+1%
2005-03-27 - 2005-04-02,+1%
2005-04-03 - 2005-04-09,+8%
2005-04-10 - 2005-04-16,+4%
2005-04-17 - 2005-04-23,+4%
2005-04-24 - 2005-04-30,+1%
2005-05-01 - 2005-05-07,-4%
2005-05-08 - 2005-05-14,-5%
2005-05-15 - 2005-05-21,-1%
2005-05-22 - 2005-05-28,-2%
2005-05-29 - 2005-06-04,+4%
2005-06-05 - 2005-06-11,+4%
2005-06-12 - 2005-06-18,+2%
2005-06-19 - 2005-06-25,+8%
2005-06-26 - 2005-07-02,+6%
2005-07-03 - 2005-07-09,+6%
2005-07-10 - 2005-07-16,+6%
2005-07-17 - 2005-07-23,+6%
2005-07-24 - 2005-07-30,+1%
2005-07-31 - 2005-08-06,+1%
2005-08-07 - 2005-08-13,+2%
2005-08-14 - 2005-08-20,+10%
2005-08-21 - 2005-08-27,+8%
2005-08-28 - 2005-09-03,+6%
2005-09-04 - 2005-09-10,+19%
2005-09-11 - 2005-09-17,+12%
2005-09-18 - 2005-09-24,+4%
2005-09-25 - 2005-10-01,+8%
2005-10-02 - 2005-10-08,+7%
2005-10-09 - 2005-10-15,+11%
2005-10-16 - 2005-10-22,+7%
2005-10-23 - 2005-10-29,+5%
2005-10-30 - 2005-11-05,+6%
2005-11-06 - 2005-11-12,+15%
2005-11-13 - 2005-11-19,+13%
2005-11-20 - 2005-11-26,+10%
2005-11-27 - 2005-12-03,+5%
2005-12-04 - 2005-12-10,+10%
2005-12-11 - 2005-12-17,+1%
2005-12-18 - 2005-12-24,+5%
2005-12-25 - 2005-12-31,+4%



Top searches
football,100
golf,80
sports,50
baseball,50
basketball,45
nfl,45
espn,35
soccer,35
tickets,25
nba,20
ncaa,20
tennis,15
wrestling,15
mlb,15
nascar,10
wwe,10
college football,10
time,10
france,10
bowling,10



Rising searches
the contender,+1,650%
washington nationals,+600%
2005 nfl draft,+350%
ufc,+250%
white sox,+160%
chicago white sox,+110%
usc football,+80%
49ers,+50%
bengals,+50%
carolina panthers,+40%



