Web Search interest
United States; 2013

Interest over time
Week,Reference
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,+1%
2013-01-20 - 2013-01-26,+1%
2013-01-27 - 2013-02-02,+4%
2013-02-03 - 2013-02-09,+1%
2013-02-10 - 2013-02-16,+0%
2013-02-17 - 2013-02-23,+1%
2013-02-24 - 2013-03-02,+3%
2013-03-03 - 2013-03-09,+7%
2013-03-10 - 2013-03-16,+4%
2013-03-17 - 2013-03-23,+3%
2013-03-24 - 2013-03-30,-3%
2013-03-31 - 2013-04-06,-1%
2013-04-07 - 2013-04-13,+3%
2013-04-14 - 2013-04-20,+0%
2013-04-21 - 2013-04-27,+2%
2013-04-28 - 2013-05-04,+0%
2013-05-05 - 2013-05-11,-1%
2013-05-12 - 2013-05-18,+0%
2013-05-19 - 2013-05-25,+0%
2013-05-26 - 2013-06-01,-2%
2013-06-02 - 2013-06-08,-5%
2013-06-09 - 2013-06-15,-4%
2013-06-16 - 2013-06-22,-5%
2013-06-23 - 2013-06-29,-9%
2013-06-30 - 2013-07-06,-7%
2013-07-07 - 2013-07-13,-3%
2013-07-14 - 2013-07-20,-7%
2013-07-21 - 2013-07-27,-8%
2013-07-28 - 2013-08-03,-7%
2013-08-04 - 2013-08-10,-8%
2013-08-11 - 2013-08-17,-5%
2013-08-18 - 2013-08-24,-1%
2013-08-25 - 2013-08-31,+1%
2013-09-01 - 2013-09-07,+2%
2013-09-08 - 2013-09-14,+2%
2013-09-15 - 2013-09-21,+5%
2013-09-22 - 2013-09-28,+9%
2013-09-29 - 2013-10-05,+5%
2013-10-06 - 2013-10-12,+8%
2013-10-13 - 2013-10-19,+5%
2013-10-20 - 2013-10-26,+9%
2013-10-27 - 2013-11-02,+10%
2013-11-03 - 2013-11-09,+8%
2013-11-10 - 2013-11-16,+9%
2013-11-17 - 2013-11-23,+4%
2013-11-24 - 2013-11-30,-7%
2013-12-01 - 2013-12-07,+0%
2013-12-08 - 2013-12-14,+4%
2013-12-15 - 2013-12-21,-1%
2013-12-22 - 2013-12-28,-15%
2013-12-29 - 2014-01-04,-10%



Top searches
craigslist,100
google,30
quotes,25
maps,20
map,15
translate,15
definition,15
google maps,10
2013,10
library,10
google translate,10
dictionary,10
spanish,10
calendar,5
bing,5
translator,5
translation,5
white pages,5
thesaurus,5
wikipedia,5



Rising searches
2014 calendar,+2,200%
daylight savings 2013,+1,250%
2013,+550%
2013 calendar,+300%
despicable me,+300%
craigslist la,+250%
craigslist phoenix,+80%
chicago craigslist,+60%
craigslist sf,+60%
backpage,+50%



