Web Search interest
United States; 2008

Interest over time
Week,Books & Literature
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+5%
2008-01-20 - 2008-01-26,-2%
2008-01-27 - 2008-02-02,+1%
2008-02-03 - 2008-02-09,+1%
2008-02-10 - 2008-02-16,+9%
2008-02-17 - 2008-02-23,+8%
2008-02-24 - 2008-03-01,+14%
2008-03-02 - 2008-03-08,+9%
2008-03-09 - 2008-03-15,+7%
2008-03-16 - 2008-03-22,-2%
2008-03-23 - 2008-03-29,+1%
2008-03-30 - 2008-04-05,+11%
2008-04-06 - 2008-04-12,+7%
2008-04-13 - 2008-04-19,+12%
2008-04-20 - 2008-04-26,+7%
2008-04-27 - 2008-05-03,+12%
2008-05-04 - 2008-05-10,+7%
2008-05-11 - 2008-05-17,+6%
2008-05-18 - 2008-05-24,-2%
2008-05-25 - 2008-05-31,-4%
2008-06-01 - 2008-06-07,-9%
2008-06-08 - 2008-06-14,-18%
2008-06-15 - 2008-06-21,-21%
2008-06-22 - 2008-06-28,-25%
2008-06-29 - 2008-07-05,-25%
2008-07-06 - 2008-07-12,-22%
2008-07-13 - 2008-07-19,-19%
2008-07-20 - 2008-07-26,-24%
2008-07-27 - 2008-08-02,-12%
2008-08-03 - 2008-08-09,-21%
2008-08-10 - 2008-08-16,-24%
2008-08-17 - 2008-08-23,-14%
2008-08-24 - 2008-08-30,-11%
2008-08-31 - 2008-09-06,-5%
2008-09-07 - 2008-09-13,-1%
2008-09-14 - 2008-09-20,+5%
2008-09-21 - 2008-09-27,+4%
2008-09-28 - 2008-10-04,+2%
2008-10-05 - 2008-10-11,+5%
2008-10-12 - 2008-10-18,+2%
2008-10-19 - 2008-10-25,+6%
2008-10-26 - 2008-11-01,+11%
2008-11-02 - 2008-11-08,+2%
2008-11-09 - 2008-11-15,+8%
2008-11-16 - 2008-11-22,+16%
2008-11-23 - 2008-11-29,-1%
2008-11-30 - 2008-12-06,+16%
2008-12-07 - 2008-12-13,+18%
2008-12-14 - 2008-12-20,+4%
2008-12-21 - 2008-12-27,-21%
2008-12-28 - 2009-01-03,-24%



Top searches
quotes,100
book,40
books,40
poems,30
mla,15
poem,15
barnes,15
citation,15
apa,10
quote,10
harry potter,10
poetry,10
sparknotes,10
love quotes,10
barnes noble,10
famous quotes,10
love poems,5
shakespeare,5
spark notes,5
amazon,5



Rising searches
twilight,+600%
prince caspian,+500%
frases,+350%
beatrix potter,+250%
amor,+150%
google books,+120%
narnia,+110%
poemas,+110%
poemas de amor,+70%
jane austen,+50%



