Web Search interest
United States; 2008

Interest over time
Week,Pets & Animals
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+0%
2008-01-20 - 2008-01-26,-1%
2008-01-27 - 2008-02-02,-2%
2008-02-03 - 2008-02-09,+2%
2008-02-10 - 2008-02-16,+9%
2008-02-17 - 2008-02-23,+0%
2008-02-24 - 2008-03-01,+1%
2008-03-02 - 2008-03-08,+2%
2008-03-09 - 2008-03-15,+4%
2008-03-16 - 2008-03-22,+5%
2008-03-23 - 2008-03-29,+1%
2008-03-30 - 2008-04-05,+7%
2008-04-06 - 2008-04-12,+7%
2008-04-13 - 2008-04-19,+5%
2008-04-20 - 2008-04-26,+9%
2008-04-27 - 2008-05-03,+7%
2008-05-04 - 2008-05-10,+8%
2008-05-11 - 2008-05-17,+8%
2008-05-18 - 2008-05-24,+7%
2008-05-25 - 2008-05-31,+8%
2008-06-01 - 2008-06-07,+2%
2008-06-08 - 2008-06-14,-1%
2008-06-15 - 2008-06-21,+3%
2008-06-22 - 2008-06-28,+3%
2008-06-29 - 2008-07-05,+4%
2008-07-06 - 2008-07-12,+8%
2008-07-13 - 2008-07-19,+2%
2008-07-20 - 2008-07-26,+3%
2008-07-27 - 2008-08-02,+4%
2008-08-03 - 2008-08-09,+1%
2008-08-10 - 2008-08-16,+0%
2008-08-17 - 2008-08-23,-3%
2008-08-24 - 2008-08-30,+2%
2008-08-31 - 2008-09-06,-2%
2008-09-07 - 2008-09-13,-9%
2008-09-14 - 2008-09-20,-5%
2008-09-21 - 2008-09-27,-4%
2008-09-28 - 2008-10-04,-2%
2008-10-05 - 2008-10-11,-2%
2008-10-12 - 2008-10-18,-4%
2008-10-19 - 2008-10-25,-4%
2008-10-26 - 2008-11-01,-4%
2008-11-02 - 2008-11-08,-8%
2008-11-09 - 2008-11-15,-2%
2008-11-16 - 2008-11-22,-3%
2008-11-23 - 2008-11-29,-4%
2008-11-30 - 2008-12-06,-4%
2008-12-07 - 2008-12-13,-1%
2008-12-14 - 2008-12-20,-4%
2008-12-21 - 2008-12-27,-3%
2008-12-28 - 2009-01-03,+1%



Top searches
dog,100
dogs,45
pet,40
animal,40
cat,35
puppies,35
fish,25
horse,20
puppy,20
cats,20
zoo,20
horses,15
bird,15
neopets,10
petsmart,10
pets,10
humane society,10
birds,10
puppies for sale,10
animals,10



Rising searches
christian the lion,Breakout
puppy cam,Breakout
peticure,+4,200%
appaloosa,+80%
westminster dog show,+50%
hamster,+40%
pitbull puppies,+40%
puppies for adoption,+40%
shiba inu,+40%



