Web Search interest
United States; 2004

Interest over time
Week,People & Society
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+2%
2004-01-18 - 2004-01-24,+3%
2004-01-25 - 2004-01-31,+2%
2004-02-01 - 2004-02-07,+1%
2004-02-08 - 2004-02-14,+2%
2004-02-15 - 2004-02-21,+10%
2004-02-22 - 2004-02-28,+14%
2004-02-29 - 2004-03-06,+9%
2004-03-07 - 2004-03-13,+5%
2004-03-14 - 2004-03-20,+3%
2004-03-21 - 2004-03-27,+7%
2004-03-28 - 2004-04-03,+8%
2004-04-04 - 2004-04-10,+6%
2004-04-11 - 2004-04-17,+8%
2004-04-18 - 2004-04-24,+9%
2004-04-25 - 2004-05-01,+10%
2004-05-02 - 2004-05-08,+6%
2004-05-09 - 2004-05-15,+7%
2004-05-16 - 2004-05-22,+5%
2004-05-23 - 2004-05-29,+0%
2004-05-30 - 2004-06-05,-1%
2004-06-06 - 2004-06-12,+1%
2004-06-13 - 2004-06-19,-5%
2004-06-20 - 2004-06-26,-5%
2004-06-27 - 2004-07-03,-8%
2004-07-04 - 2004-07-10,-7%
2004-07-11 - 2004-07-17,-6%
2004-07-18 - 2004-07-24,-6%
2004-07-25 - 2004-07-31,-7%
2004-08-01 - 2004-08-07,-8%
2004-08-08 - 2004-08-14,-7%
2004-08-15 - 2004-08-21,-6%
2004-08-22 - 2004-08-28,-7%
2004-08-29 - 2004-09-04,-6%
2004-09-05 - 2004-09-11,-2%
2004-09-12 - 2004-09-18,-1%
2004-09-19 - 2004-09-25,-1%
2004-09-26 - 2004-10-02,+3%
2004-10-03 - 2004-10-09,+5%
2004-10-10 - 2004-10-16,+3%
2004-10-17 - 2004-10-23,+2%
2004-10-24 - 2004-10-30,+5%
2004-10-31 - 2004-11-06,+6%
2004-11-07 - 2004-11-13,+7%
2004-11-14 - 2004-11-20,+8%
2004-11-21 - 2004-11-27,-1%
2004-11-28 - 2004-12-04,+2%
2004-12-05 - 2004-12-11,+3%
2004-12-12 - 2004-12-18,+0%
2004-12-19 - 2004-12-25,-6%
2004-12-26 - 2005-01-01,-7%



Top searches
baby,100
wedding,100
bible,85
names,80
girls,80
pregnancy,60
hot,40
baby names,35
love,35
marriage,30
harry potter,30
games,30
social security,30
horoscope,25
babies,25
god,20
horoscopes,20
india,20
jesus,20
astrology,20



Rising searches
amanda beard,Breakout
amy acuff,Breakout
venus transit,Breakout
lindsay lohan,+900%
jk rowling,+350%
charisma carpenter,+300%
elisha cuthbert,+110%
jew,+70%
funbrain,+60%
bridal shower games,+50%



