Web Search interest
United States; Past 12 months

Interest over time
Week,Beauty & Fitness
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-4%
2013-09-29 - 2013-10-05,-6%
2013-10-06 - 2013-10-12,-4%
2013-10-13 - 2013-10-19,-4%
2013-10-20 - 2013-10-26,-8%
2013-10-27 - 2013-11-02,-7%
2013-11-03 - 2013-11-09,-6%
2013-11-10 - 2013-11-16,-2%
2013-11-17 - 2013-11-23,-4%
2013-11-24 - 2013-11-30,-8%
2013-12-01 - 2013-12-07,-9%
2013-12-08 - 2013-12-14,-7%
2013-12-15 - 2013-12-21,-3%
2013-12-22 - 2013-12-28,+1%
2013-12-29 - 2014-01-04,+11%
2014-01-05 - 2014-01-11,+1%
2014-01-12 - 2014-01-18,+4%
2014-01-19 - 2014-01-25,+3%
2014-01-26 - 2014-02-01,-2%
2014-02-02 - 2014-02-08,+0%
2014-02-09 - 2014-02-15,-3%
2014-02-16 - 2014-02-22,+2%
2014-02-23 - 2014-03-01,+3%
2014-03-02 - 2014-03-08,+1%
2014-03-09 - 2014-03-15,-2%
2014-03-16 - 2014-03-22,+1%
2014-03-23 - 2014-03-29,+3%
2014-03-30 - 2014-04-05,+1%
2014-04-06 - 2014-04-12,+0%
2014-04-13 - 2014-04-19,+2%
2014-04-20 - 2014-04-26,+2%
2014-04-27 - 2014-05-03,+3%
2014-05-04 - 2014-05-10,+6%
2014-05-11 - 2014-05-17,+2%
2014-05-18 - 2014-05-24,+3%
2014-05-25 - 2014-05-31,+3%
2014-06-01 - 2014-06-07,+1%
2014-06-08 - 2014-06-14,+4%
2014-06-15 - 2014-06-21,+1%
2014-06-22 - 2014-06-28,+4%
2014-06-29 - 2014-07-05,+0%
2014-07-06 - 2014-07-12,+2%
2014-07-13 - 2014-07-19,+6%
2014-07-20 - 2014-07-26,+7%
2014-07-27 - 2014-08-02,+4%
2014-08-03 - 2014-08-09,+2%
2014-08-10 - 2014-08-16,-2%
2014-08-17 - 2014-08-23,-1%
2014-08-24 - 2014-08-30,-7%
2014-08-31 - 2014-09-06,+0%
2014-09-07 - 2014-09-13,-9%
2014-09-14 - 2014-09-20,-4%



Top searches
hair,100
tattoo,35
yoga,25
tattoos,25
face,25
hairstyles,20
nails,20
lose,15
beauty,10
crossfit,10
weight loss,10
exercise,5
sephora,5
ulta,5
mac,5
perfume,5
planet fitness,5
short hairstyles,5
bodybuilding,5
bob,5



Rising searches
hairfinity,+650%
joan rivers,+350%
roshe run,+300%
becky g,+200%
doterra,+140%
diamond candles,+90%
short hair cuts,+90%
dollar shave club,+70%
gisele bundchen,+50%
beachbody,+40%



