Web Search interest
United States; 2006

Interest over time
Week,Home & Garden
2006-01-01 - 2006-01-07,+0%
2006-01-08 - 2006-01-14,-5%
2006-01-15 - 2006-01-21,-5%
2006-01-22 - 2006-01-28,-9%
2006-01-29 - 2006-02-04,-10%
2006-02-05 - 2006-02-11,-14%
2006-02-12 - 2006-02-18,-13%
2006-02-19 - 2006-02-25,-8%
2006-02-26 - 2006-03-04,-9%
2006-03-05 - 2006-03-11,-9%
2006-03-12 - 2006-03-18,-4%
2006-03-19 - 2006-03-25,-5%
2006-03-26 - 2006-04-01,-3%
2006-04-02 - 2006-04-08,-4%
2006-04-09 - 2006-04-15,-3%
2006-04-16 - 2006-04-22,-2%
2006-04-23 - 2006-04-29,+0%
2006-04-30 - 2006-05-06,-1%
2006-05-07 - 2006-05-13,-1%
2006-05-14 - 2006-05-20,-3%
2006-05-21 - 2006-05-27,+1%
2006-05-28 - 2006-06-03,+10%
2006-06-04 - 2006-06-10,+0%
2006-06-11 - 2006-06-17,+3%
2006-06-18 - 2006-06-24,+4%
2006-06-25 - 2006-07-01,+7%
2006-07-02 - 2006-07-08,+10%
2006-07-09 - 2006-07-15,+4%
2006-07-16 - 2006-07-22,+7%
2006-07-23 - 2006-07-29,+8%
2006-07-30 - 2006-08-05,+5%
2006-08-06 - 2006-08-12,+1%
2006-08-13 - 2006-08-19,+1%
2006-08-20 - 2006-08-26,+0%
2006-08-27 - 2006-09-02,+0%
2006-09-03 - 2006-09-09,+0%
2006-09-10 - 2006-09-16,-5%
2006-09-17 - 2006-09-23,-7%
2006-09-24 - 2006-09-30,-9%
2006-10-01 - 2006-10-07,-9%
2006-10-08 - 2006-10-14,-8%
2006-10-15 - 2006-10-21,-10%
2006-10-22 - 2006-10-28,-8%
2006-10-29 - 2006-11-04,-9%
2006-11-05 - 2006-11-11,-8%
2006-11-12 - 2006-11-18,-5%
2006-11-19 - 2006-11-25,-2%
2006-11-26 - 2006-12-02,-4%
2006-12-03 - 2006-12-09,-7%
2006-12-10 - 2006-12-16,-8%
2006-12-17 - 2006-12-23,-11%
2006-12-24 - 2006-12-30,-4%
2006-12-31 - 2007-01-06,-5%



Top searches
furniture,100
home depot,50
bed,50
lowes,35
bed bath,30
bed bath beyond,25
paint,25
lighting,20
pool,20
bed and bath,20
ikea,20
tile,20
doors,15
bedding,15
carpet,15
pottery barn,15
mattress,15
sears,15
clock,10
ge,10



Rising searches
kaktuz,+800%
flip this house,+200%
cb2,+130%
ashley furniture,+40%
babies r us,+40%
costco,+40%
home decorators,+40%
lumber liquidators,+40%
stanley steamer,+40%
west elm,+40%



