Web Search interest
United States; 2006

Interest over time
Week,Jobs & Education
2006-01-01 - 2006-01-07,+0%
2006-01-08 - 2006-01-14,+1%
2006-01-15 - 2006-01-21,+2%
2006-01-22 - 2006-01-28,+2%
2006-01-29 - 2006-02-04,+0%
2006-02-05 - 2006-02-11,-3%
2006-02-12 - 2006-02-18,-5%
2006-02-19 - 2006-02-25,-5%
2006-02-26 - 2006-03-04,-1%
2006-03-05 - 2006-03-11,-4%
2006-03-12 - 2006-03-18,-4%
2006-03-19 - 2006-03-25,-4%
2006-03-26 - 2006-04-01,-1%
2006-04-02 - 2006-04-08,-2%
2006-04-09 - 2006-04-15,-9%
2006-04-16 - 2006-04-22,-8%
2006-04-23 - 2006-04-29,-2%
2006-04-30 - 2006-05-06,-3%
2006-05-07 - 2006-05-13,-6%
2006-05-14 - 2006-05-20,-8%
2006-05-21 - 2006-05-27,-8%
2006-05-28 - 2006-06-03,-11%
2006-06-04 - 2006-06-10,-11%
2006-06-11 - 2006-06-17,-12%
2006-06-18 - 2006-06-24,-16%
2006-06-25 - 2006-07-01,-18%
2006-07-02 - 2006-07-08,-22%
2006-07-09 - 2006-07-15,-17%
2006-07-16 - 2006-07-22,-16%
2006-07-23 - 2006-07-29,-16%
2006-07-30 - 2006-08-05,-12%
2006-08-06 - 2006-08-12,-9%
2006-08-13 - 2006-08-19,+1%
2006-08-20 - 2006-08-26,+5%
2006-08-27 - 2006-09-02,+4%
2006-09-03 - 2006-09-09,+4%
2006-09-10 - 2006-09-16,+6%
2006-09-17 - 2006-09-23,+8%
2006-09-24 - 2006-09-30,+2%
2006-10-01 - 2006-10-07,+2%
2006-10-08 - 2006-10-14,+2%
2006-10-15 - 2006-10-21,+1%
2006-10-22 - 2006-10-28,+0%
2006-10-29 - 2006-11-04,+0%
2006-11-05 - 2006-11-11,-2%
2006-11-12 - 2006-11-18,+1%
2006-11-19 - 2006-11-25,-19%
2006-11-26 - 2006-12-02,-2%
2006-12-03 - 2006-12-09,-10%
2006-12-10 - 2006-12-16,-10%
2006-12-17 - 2006-12-23,-22%
2006-12-24 - 2006-12-30,-34%
2006-12-31 - 2007-01-06,-6%



Top searches
college,100
jobs,50
job,25
test,15
resume,15
colleges,10
career,10
salary,10
academy,5
employment,5
harvard,5
lesson plans,5
students,5
washington university,5
barnes and noble,5
careers,5
princeton,5
nebraska,5
cover letter,5
rate my,5



Rising searches
indeed,+350%
fac,+300%
edline,+90%
my free paysite,+80%
rate my professor,+60%
college confidential,+50%
marshall university,+40%
schoolnotes,+40%



