Web Search interest
United States; 2010

Interest over time
Week,Science
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+11%
2010-01-17 - 2010-01-23,+13%
2010-01-24 - 2010-01-30,+18%
2010-01-31 - 2010-02-06,+22%
2010-02-07 - 2010-02-13,+16%
2010-02-14 - 2010-02-20,+16%
2010-02-21 - 2010-02-27,+30%
2010-02-28 - 2010-03-06,+25%
2010-03-07 - 2010-03-13,+24%
2010-03-14 - 2010-03-20,+22%
2010-03-21 - 2010-03-27,+20%
2010-03-28 - 2010-04-03,+14%
2010-04-04 - 2010-04-10,+18%
2010-04-11 - 2010-04-17,+28%
2010-04-18 - 2010-04-24,+32%
2010-04-25 - 2010-05-01,+29%
2010-05-02 - 2010-05-08,+22%
2010-05-09 - 2010-05-15,+17%
2010-05-16 - 2010-05-22,+14%
2010-05-23 - 2010-05-29,+8%
2010-05-30 - 2010-06-05,+9%
2010-06-06 - 2010-06-12,-1%
2010-06-13 - 2010-06-19,-7%
2010-06-20 - 2010-06-26,-12%
2010-06-27 - 2010-07-03,-17%
2010-07-04 - 2010-07-10,-21%
2010-07-11 - 2010-07-17,-16%
2010-07-18 - 2010-07-24,-18%
2010-07-25 - 2010-07-31,-20%
2010-08-01 - 2010-08-07,-17%
2010-08-08 - 2010-08-14,-9%
2010-08-15 - 2010-08-21,-13%
2010-08-22 - 2010-08-28,+0%
2010-08-29 - 2010-09-04,+9%
2010-09-05 - 2010-09-11,+9%
2010-09-12 - 2010-09-18,+20%
2010-09-19 - 2010-09-25,+25%
2010-09-26 - 2010-10-02,+28%
2010-10-03 - 2010-10-09,+25%
2010-10-10 - 2010-10-16,+21%
2010-10-17 - 2010-10-23,+25%
2010-10-24 - 2010-10-30,+21%
2010-10-31 - 2010-11-06,+14%
2010-11-07 - 2010-11-13,+18%
2010-11-14 - 2010-11-20,+21%
2010-11-21 - 2010-11-27,-8%
2010-11-28 - 2010-12-04,+20%
2010-12-05 - 2010-12-11,+17%
2010-12-12 - 2010-12-18,+8%
2010-12-19 - 2010-12-25,-7%
2010-12-26 - 2011-01-01,-38%



Top searches
math,100
science,70
physics,35
chemistry,30
periodic table,30
eclipse,20
animals,20
biology,20
dna,20
algebra,20
brain,20
acid,20
fractions,15
jquery,15
lunar eclipse,15
multiplication,15
spider,15
protein,15
help,15
national geographic,15



Rising searches
lunar eclipse 2010,Breakout
sinkhole,+1,050%
lunar eclipse,+650%
centipede,+200%
physics games,+190%
coolmath,+140%
eclipse,+140%
coolmath4kids,+120%
stephen hawking,+120%
bed bugs,+110%



