Web Search interest
United States; 2007

Interest over time
Week,Shopping
2007-01-07 - 2007-01-13,+0%
2007-01-14 - 2007-01-20,-3%
2007-01-21 - 2007-01-27,-3%
2007-01-28 - 2007-02-03,-4%
2007-02-04 - 2007-02-10,-4%
2007-02-11 - 2007-02-17,+0%
2007-02-18 - 2007-02-24,-7%
2007-02-25 - 2007-03-03,-7%
2007-03-04 - 2007-03-10,-7%
2007-03-11 - 2007-03-17,-6%
2007-03-18 - 2007-03-24,-6%
2007-03-25 - 2007-03-31,-6%
2007-04-01 - 2007-04-07,-4%
2007-04-08 - 2007-04-14,-7%
2007-04-15 - 2007-04-21,-4%
2007-04-22 - 2007-04-28,-6%
2007-04-29 - 2007-05-05,-4%
2007-05-06 - 2007-05-12,-4%
2007-05-13 - 2007-05-19,-3%
2007-05-20 - 2007-05-26,-3%
2007-05-27 - 2007-06-02,-3%
2007-06-03 - 2007-06-09,-3%
2007-06-10 - 2007-06-16,+0%
2007-06-17 - 2007-06-23,-3%
2007-06-24 - 2007-06-30,-4%
2007-07-01 - 2007-07-07,+1%
2007-07-08 - 2007-07-14,+0%
2007-07-15 - 2007-07-21,-1%
2007-07-22 - 2007-07-28,-4%
2007-07-29 - 2007-08-04,-1%
2007-08-05 - 2007-08-11,-1%
2007-08-12 - 2007-08-18,+1%
2007-08-19 - 2007-08-25,-1%
2007-08-26 - 2007-09-01,-4%
2007-09-02 - 2007-09-08,+0%
2007-09-09 - 2007-09-15,-6%
2007-09-16 - 2007-09-22,-3%
2007-09-23 - 2007-09-29,-4%
2007-09-30 - 2007-10-06,-3%
2007-10-07 - 2007-10-13,-1%
2007-10-14 - 2007-10-20,+1%
2007-10-21 - 2007-10-27,+1%
2007-10-28 - 2007-11-03,-1%
2007-11-04 - 2007-11-10,+4%
2007-11-11 - 2007-11-17,+10%
2007-11-18 - 2007-11-24,+47%
2007-11-25 - 2007-12-01,+25%
2007-12-02 - 2007-12-08,+28%
2007-12-09 - 2007-12-15,+26%
2007-12-16 - 2007-12-22,+29%
2007-12-23 - 2007-12-29,+34%
2007-12-30 - 2008-01-05,+7%



Top searches
ebay,100
shoes,55
walmart,45
target,40
ipod,35
best buy,35
amazon,30
sony,30
xbox,30
webkinz,25
sears,20
blue book,20
circuit city,20
nike,20
dresses,20
xbox 360,20
costco,15
costumes,15
psp,15
nintendo,15



Rising searches
webkinz,+1,150%
transformers,+250%
craigslist,+140%
zune,+100%
garmin,+60%
ugg,+60%
wii,+60%
black friday,+50%
gamestop,+50%
macys,+50%



