Web Search interest
United States; 2005

Interest over time
Week,Books & Literature
2005-01-02 - 2005-01-08,+0%
2005-01-09 - 2005-01-15,+12%
2005-01-16 - 2005-01-22,+12%
2005-01-23 - 2005-01-29,+10%
2005-01-30 - 2005-02-05,+12%
2005-02-06 - 2005-02-12,+11%
2005-02-13 - 2005-02-19,+18%
2005-02-20 - 2005-02-26,+12%
2005-02-27 - 2005-03-05,+17%
2005-03-06 - 2005-03-12,+12%
2005-03-13 - 2005-03-19,+9%
2005-03-20 - 2005-03-26,+2%
2005-03-27 - 2005-04-02,+2%
2005-04-03 - 2005-04-09,+7%
2005-04-10 - 2005-04-16,+18%
2005-04-17 - 2005-04-23,+17%
2005-04-24 - 2005-04-30,+21%
2005-05-01 - 2005-05-07,+16%
2005-05-08 - 2005-05-14,+12%
2005-05-15 - 2005-05-21,+7%
2005-05-22 - 2005-05-28,-1%
2005-05-29 - 2005-06-04,-6%
2005-06-05 - 2005-06-11,-9%
2005-06-12 - 2005-06-18,-18%
2005-06-19 - 2005-06-25,-20%
2005-06-26 - 2005-07-02,-23%
2005-07-03 - 2005-07-09,-24%
2005-07-10 - 2005-07-16,-12%
2005-07-17 - 2005-07-23,-5%
2005-07-24 - 2005-07-30,-22%
2005-07-31 - 2005-08-06,-22%
2005-08-07 - 2005-08-13,-23%
2005-08-14 - 2005-08-20,-22%
2005-08-21 - 2005-08-27,-16%
2005-08-28 - 2005-09-03,-15%
2005-09-04 - 2005-09-10,-5%
2005-09-11 - 2005-09-17,+0%
2005-09-18 - 2005-09-24,-1%
2005-09-25 - 2005-10-01,+4%
2005-10-02 - 2005-10-08,+4%
2005-10-09 - 2005-10-15,+6%
2005-10-16 - 2005-10-22,+9%
2005-10-23 - 2005-10-29,+9%
2005-10-30 - 2005-11-05,+13%
2005-11-06 - 2005-11-12,+10%
2005-11-13 - 2005-11-19,+21%
2005-11-20 - 2005-11-26,+1%
2005-11-27 - 2005-12-03,+16%
2005-12-04 - 2005-12-10,+22%
2005-12-11 - 2005-12-17,+12%
2005-12-18 - 2005-12-24,-9%
2005-12-25 - 2005-12-31,-26%



Top searches
quotes,100
book,40
poems,40
books,40
harry potter,25
poetry,20
mla,15
poem,15
quote,10
love quotes,10
love poems,10
famous quotes,10
barnes noble,10
shakespeare,10
apa,10
bibliography,5
fanfiction,5
spark notes,5
maxim,5
mla format,5



Rising searches
narnia,+750%
chronicles of narnia,+650%
half blood prince,+200%
howard hughes,+200%
pride and prejudice,+120%
citation machine,+90%
harry potter movie,+80%
us weekly,+70%
spark notes,+60%
sparknotes,+60%



