Web Search interest
United States; 2007

Interest over time
Week,News
2007-01-07 - 2007-01-13,+0%
2007-01-14 - 2007-01-20,+5%
2007-01-21 - 2007-01-27,-1%
2007-01-28 - 2007-02-03,+4%
2007-02-04 - 2007-02-10,+6%
2007-02-11 - 2007-02-17,+16%
2007-02-18 - 2007-02-24,+11%
2007-02-25 - 2007-03-03,+23%
2007-03-04 - 2007-03-10,+5%
2007-03-11 - 2007-03-17,-2%
2007-03-18 - 2007-03-24,-7%
2007-03-25 - 2007-03-31,-6%
2007-04-01 - 2007-04-07,-5%
2007-04-08 - 2007-04-14,+1%
2007-04-15 - 2007-04-21,+9%
2007-04-22 - 2007-04-28,+1%
2007-04-29 - 2007-05-05,-2%
2007-05-06 - 2007-05-12,-5%
2007-05-13 - 2007-05-19,-5%
2007-05-20 - 2007-05-26,-7%
2007-05-27 - 2007-06-02,-1%
2007-06-03 - 2007-06-09,+2%
2007-06-10 - 2007-06-16,-11%
2007-06-17 - 2007-06-23,-5%
2007-06-24 - 2007-06-30,-1%
2007-07-01 - 2007-07-07,-1%
2007-07-08 - 2007-07-14,-1%
2007-07-15 - 2007-07-21,-2%
2007-07-22 - 2007-07-28,+0%
2007-07-29 - 2007-08-04,-5%
2007-08-05 - 2007-08-11,-6%
2007-08-12 - 2007-08-18,+0%
2007-08-19 - 2007-08-25,+0%
2007-08-26 - 2007-09-01,-5%
2007-09-02 - 2007-09-08,+9%
2007-09-09 - 2007-09-15,+14%
2007-09-16 - 2007-09-22,+5%
2007-09-23 - 2007-09-29,+0%
2007-09-30 - 2007-10-06,-1%
2007-10-07 - 2007-10-13,+1%
2007-10-14 - 2007-10-20,+4%
2007-10-21 - 2007-10-27,+5%
2007-10-28 - 2007-11-03,+0%
2007-11-04 - 2007-11-10,+2%
2007-11-11 - 2007-11-17,-1%
2007-11-18 - 2007-11-24,-9%
2007-11-25 - 2007-12-01,+2%
2007-12-02 - 2007-12-08,+14%
2007-12-09 - 2007-12-15,+10%
2007-12-16 - 2007-12-22,+9%
2007-12-23 - 2007-12-29,+0%
2007-12-30 - 2008-01-05,+17%



Top searches
weather,100
news,60
cnn,20
fox,15
yahoo,10
fox news,10
britney,10
weather channel,10
britney spears,5
vanessa hudgens,5
msnbc,5
bbc,5
drudge,5
newspapers,5
perez,5
new york times,5
people,5
perez hilton,5
weather forecast,5
noaa,5



Rising searches
amy winehouse,Breakout
antonella barba,Breakout
ron paul,+4,900%
kim kardashian,+2,900%
vanessa hudgens,+1,400%
tmz,+400%
hillary clinton,+200%
perez hilton,+200%
perez,+190%
miley cyrus,+170%



