Web Search interest
United States; 2014

Interest over time
Week,People & Society
2014-01-05 - 2014-01-11,+0%
2014-01-12 - 2014-01-18,+2%
2014-01-19 - 2014-01-25,-2%
2014-01-26 - 2014-02-01,+1%
2014-02-02 - 2014-02-08,-1%
2014-02-09 - 2014-02-15,-2%
2014-02-16 - 2014-02-22,+1%
2014-02-23 - 2014-03-01,+1%
2014-03-02 - 2014-03-08,+2%
2014-03-09 - 2014-03-15,+0%
2014-03-16 - 2014-03-22,+0%
2014-03-23 - 2014-03-29,+1%
2014-03-30 - 2014-04-05,+0%
2014-04-06 - 2014-04-12,+3%
2014-04-13 - 2014-04-19,+4%
2014-04-20 - 2014-04-26,+3%
2014-04-27 - 2014-05-03,+4%
2014-05-04 - 2014-05-10,+2%
2014-05-11 - 2014-05-17,+0%
2014-05-18 - 2014-05-24,+3%
2014-05-25 - 2014-05-31,+4%
2014-06-01 - 2014-06-07,+0%
2014-06-08 - 2014-06-14,-4%
2014-06-15 - 2014-06-21,+0%
2014-06-22 - 2014-06-28,-3%
2014-06-29 - 2014-07-05,-5%
2014-07-06 - 2014-07-12,-2%
2014-07-13 - 2014-07-19,+0%
2014-07-20 - 2014-07-26,+0%
2014-07-27 - 2014-08-02,-1%
2014-08-03 - 2014-08-09,-2%
2014-08-10 - 2014-08-16,-3%
2014-08-17 - 2014-08-23,-1%
2014-08-24 - 2014-08-30,-1%
2014-08-31 - 2014-09-06,+0%
2014-09-07 - 2014-09-13,+1%
2014-09-14 - 2014-09-20,+2%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 
2014-10-05 - 2014-10-11, 
2014-10-12 - 2014-10-18, 
2014-10-19 - 2014-10-25, 
2014-10-26 - 2014-11-01, 
2014-11-02 - 2014-11-08, 
2014-11-09 - 2014-11-15, 
2014-11-16 - 2014-11-22, 
2014-11-23 - 2014-11-29, 
2014-11-30 - 2014-12-06, 
2014-12-07 - 2014-12-13, 
2014-12-14 - 2014-12-20, 
2014-12-21 - 2014-12-27, 
2014-12-28 - 2015-01-03, 



Top searches
girls,100
bible,80
hot,65
us,55
cool math,50
horoscope,50
love,45
cool math games,45
social security,25
jesus,25
babies r us,25
pandora,25
tmz,25
univision,20
credit karma,20
baby names,15
friends,15
tumblr,15
girl names,15
friv,15



Rising searches
james foley,Breakout
jen selter,+1,500%
the other woman,+1,000%
juan pablo,+650%
maya angelou,+400%
duggars,+170%
credit karma,+140%
buzzfeed,+70%
amber heard,+60%
reddit nsfw,+60%



