Web Search interest
United States; 2010

Interest over time
Week,Reference
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+2%
2010-01-17 - 2010-01-23,+4%
2010-01-24 - 2010-01-30,+4%
2010-01-31 - 2010-02-06,+5%
2010-02-07 - 2010-02-13,+5%
2010-02-14 - 2010-02-20,+3%
2010-02-21 - 2010-02-27,+9%
2010-02-28 - 2010-03-06,+9%
2010-03-07 - 2010-03-13,+8%
2010-03-14 - 2010-03-20,+7%
2010-03-21 - 2010-03-27,+9%
2010-03-28 - 2010-04-03,+3%
2010-04-04 - 2010-04-10,+8%
2010-04-11 - 2010-04-17,+7%
2010-04-18 - 2010-04-24,+8%
2010-04-25 - 2010-05-01,+9%
2010-05-02 - 2010-05-08,+8%
2010-05-09 - 2010-05-15,+3%
2010-05-16 - 2010-05-22,+4%
2010-05-23 - 2010-05-29,+0%
2010-05-30 - 2010-06-05,-1%
2010-06-06 - 2010-06-12,-1%
2010-06-13 - 2010-06-19,-3%
2010-06-20 - 2010-06-26,-7%
2010-06-27 - 2010-07-03,-7%
2010-07-04 - 2010-07-10,-8%
2010-07-11 - 2010-07-17,-7%
2010-07-18 - 2010-07-24,-8%
2010-07-25 - 2010-07-31,-8%
2010-08-01 - 2010-08-07,-10%
2010-08-08 - 2010-08-14,-8%
2010-08-15 - 2010-08-21,-7%
2010-08-22 - 2010-08-28,-4%
2010-08-29 - 2010-09-04,-1%
2010-09-05 - 2010-09-11,+0%
2010-09-12 - 2010-09-18,+8%
2010-09-19 - 2010-09-25,+8%
2010-09-26 - 2010-10-02,+7%
2010-10-03 - 2010-10-09,+3%
2010-10-10 - 2010-10-16,+4%
2010-10-17 - 2010-10-23,+4%
2010-10-24 - 2010-10-30,+8%
2010-10-31 - 2010-11-06,+8%
2010-11-07 - 2010-11-13,+4%
2010-11-14 - 2010-11-20,+4%
2010-11-21 - 2010-11-27,-5%
2010-11-28 - 2010-12-04,+4%
2010-12-05 - 2010-12-11,+2%
2010-12-12 - 2010-12-18,-1%
2010-12-19 - 2010-12-25,-14%
2010-12-26 - 2011-01-01,-12%



Top searches
craigslist,100
quotes,60
google,55
map,40
maps,40
dictionary,25
maps google,25
translation,20
translate,15
translator,15
wikipedia,15
white pages,15
calendar,15
earth,10
us,10
spanish translation,10
google earth,10
zip code,10
love quotes,10
english to spanish,5



Rising searches
daylight savings 2010,+3,450%
2011 calendar,+1,600%
google translate,+110%
daylight savings time,+90%
quotes about love,+80%
bing,+70%
life quotes,+70%
quotes about life,+70%
love quotes,+50%
traductor google,+50%



