Web Search interest
United States; 2006

Interest over time
Week,Health
2006-01-01 - 2006-01-07,+0%
2006-01-08 - 2006-01-14,+3%
2006-01-15 - 2006-01-21,+2%
2006-01-22 - 2006-01-28,+5%
2006-01-29 - 2006-02-04,+4%
2006-02-05 - 2006-02-11,+3%
2006-02-12 - 2006-02-18,+2%
2006-02-19 - 2006-02-25,+5%
2006-02-26 - 2006-03-04,+5%
2006-03-05 - 2006-03-11,+5%
2006-03-12 - 2006-03-18,+7%
2006-03-19 - 2006-03-25,+7%
2006-03-26 - 2006-04-01,+8%
2006-04-02 - 2006-04-08,+8%
2006-04-09 - 2006-04-15,+7%
2006-04-16 - 2006-04-22,+4%
2006-04-23 - 2006-04-29,+7%
2006-04-30 - 2006-05-06,+9%
2006-05-07 - 2006-05-13,+2%
2006-05-14 - 2006-05-20,+5%
2006-05-21 - 2006-05-27,+2%
2006-05-28 - 2006-06-03,+1%
2006-06-04 - 2006-06-10,+3%
2006-06-11 - 2006-06-17,+0%
2006-06-18 - 2006-06-24,+2%
2006-06-25 - 2006-07-01,-1%
2006-07-02 - 2006-07-08,-7%
2006-07-09 - 2006-07-15,+0%
2006-07-16 - 2006-07-22,+1%
2006-07-23 - 2006-07-29,+2%
2006-07-30 - 2006-08-05,-1%
2006-08-06 - 2006-08-12,+0%
2006-08-13 - 2006-08-19,+0%
2006-08-20 - 2006-08-26,-2%
2006-08-27 - 2006-09-02,-1%
2006-09-03 - 2006-09-09,-4%
2006-09-10 - 2006-09-16,+1%
2006-09-17 - 2006-09-23,+2%
2006-09-24 - 2006-09-30,+3%
2006-10-01 - 2006-10-07,+1%
2006-10-08 - 2006-10-14,+4%
2006-10-15 - 2006-10-21,+2%
2006-10-22 - 2006-10-28,+4%
2006-10-29 - 2006-11-04,+3%
2006-11-05 - 2006-11-11,+5%
2006-11-12 - 2006-11-18,+3%
2006-11-19 - 2006-11-25,-11%
2006-11-26 - 2006-12-02,+1%
2006-12-03 - 2006-12-09,-2%
2006-12-10 - 2006-12-16,-5%
2006-12-17 - 2006-12-23,-13%
2006-12-24 - 2006-12-30,-15%
2006-12-31 - 2007-01-06,-5%



Top searches
medical,100
health,95
cancer,75
heart,30
diabetes,25
pharmacy,20
drugs,20
marijuana,20
webmd,15
nutrition,15
web md,15
depression,15
doctor,15
blood pressure,15
herpes,15
aids,15
walgreens,15
breast cancer,10
hiv,10
thyroid,10



Rising searches
lyrica,+160%
master cleanse,+160%
byetta,+120%
nutrisystem,+100%
hoodia,+90%
hpv,+60%
nko,+50%
walgreens,+50%
cvs pharmacy,+40%
labcorp,+40%



