News Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,Arts & Entertainment
2010-04-11 - 2010-04-17,+10%
2010-04-18 - 2010-04-24,+2%
2010-04-25 - 2010-05-01,+6%
2010-05-02 - 2010-05-08,-12%
2010-05-09 - 2010-05-15,-4%
2010-05-16 - 2010-05-22,+8%
2010-05-23 - 2010-05-29,+21%
2010-05-30 - 2010-06-05,-15%
2010-06-06 - 2010-06-12,-10%
2010-06-13 - 2010-06-19,-13%
2010-06-20 - 2010-06-26,-2%
2010-06-27 - 2010-07-03,-12%
2010-07-04 - 2010-07-10,-21%
2010-07-11 - 2010-07-17,-12%
2010-07-18 - 2010-07-24,-15%
2010-07-25 - 2010-07-31,-21%
2010-08-01 - 2010-08-07,-19%
2010-08-08 - 2010-08-14,-27%
2010-08-15 - 2010-08-21,-27%
2010-08-22 - 2010-08-28,-23%
2010-08-29 - 2010-09-04,-19%
2010-09-05 - 2010-09-11,-29%
2010-09-12 - 2010-09-18,-15%
2010-09-19 - 2010-09-25,-4%
2010-09-26 - 2010-10-02,-10%
2010-10-03 - 2010-10-09,-25%
2010-10-10 - 2010-10-16,-17%
2010-10-17 - 2010-10-23,-15%
2010-10-24 - 2010-10-30,-13%
2010-10-31 - 2010-11-06,-27%
2010-11-07 - 2010-11-13,-17%
2010-11-14 - 2010-11-20,-17%
2010-11-21 - 2010-11-27,-17%
2010-11-28 - 2010-12-04,-23%
2010-12-05 - 2010-12-11,-21%
2010-12-12 - 2010-12-18,-23%
2010-12-19 - 2010-12-25,-25%
2010-12-26 - 2011-01-01,-21%
2011-01-02 - 2011-01-08,-19%
2011-01-09 - 2011-01-15,-27%
2011-01-16 - 2011-01-22,-8%
2011-01-23 - 2011-01-29,-15%
2011-01-30 - 2011-02-05,-15%
2011-02-06 - 2011-02-12,-6%
2011-02-13 - 2011-02-19,-2%
2011-02-20 - 2011-02-26,-17%
2011-02-27 - 2011-03-05,+0%
2011-03-06 - 2011-03-12,-23%
2011-03-13 - 2011-03-19,-23%
2011-03-20 - 2011-03-26,-10%
2011-03-27 - 2011-04-02,-13%
2011-04-03 - 2011-04-09,-15%
2011-04-10 - 2011-04-16,-12%
2011-04-17 - 2011-04-23,-10%
2011-04-24 - 2011-04-30,-15%
2011-05-01 - 2011-05-07,-19%
2011-05-08 - 2011-05-14,-6%
2011-05-15 - 2011-05-21,+2%
2011-05-22 - 2011-05-28,+2%
2011-05-29 - 2011-06-04,-13%
2011-06-05 - 2011-06-11,-12%
2011-06-12 - 2011-06-18,-13%
2011-06-19 - 2011-06-25,-13%
2011-06-26 - 2011-07-02,-12%
2011-07-03 - 2011-07-09,-17%
2011-07-10 - 2011-07-16,-13%
2011-07-17 - 2011-07-23,-8%
2011-07-24 - 2011-07-30,-10%
2011-07-31 - 2011-08-06,-17%
2011-08-07 - 2011-08-13,-15%
2011-08-14 - 2011-08-20,-13%
2011-08-21 - 2011-08-27,-31%
2011-08-28 - 2011-09-03,-17%
2011-09-04 - 2011-09-10,-23%
2011-09-11 - 2011-09-17,-15%
2011-09-18 - 2011-09-24,-10%
2011-09-25 - 2011-10-01,-15%
2011-10-02 - 2011-10-08,-19%
2011-10-09 - 2011-10-15,-10%
2011-10-16 - 2011-10-22,-13%
2011-10-23 - 2011-10-29,-15%
2011-10-30 - 2011-11-05,-12%
2011-11-06 - 2011-11-12,-12%
2011-11-13 - 2011-11-19,-8%
2011-11-20 - 2011-11-26,-4%
2011-11-27 - 2011-12-03,-10%
2011-12-04 - 2011-12-10,-12%
2011-12-11 - 2011-12-17,-13%
2011-12-18 - 2011-12-24,-10%
2011-12-25 - 2011-12-31,-12%
2012-01-01 - 2012-01-07,-13%
2012-01-08 - 2012-01-14,-13%
2012-01-15 - 2012-01-21,-12%
2012-01-22 - 2012-01-28,-17%
2012-01-29 - 2012-02-04,-12%
2012-02-05 - 2012-02-11,-8%
2012-02-12 - 2012-02-18,+23%
2012-02-19 - 2012-02-25,-6%
2012-02-26 - 2012-03-03,-2%
2012-03-04 - 2012-03-10,-17%
2012-03-11 - 2012-03-17,-19%
2012-03-18 - 2012-03-24,-13%
2012-03-25 - 2012-03-31,-13%
2012-04-01 - 2012-04-07,-10%
2012-04-08 - 2012-04-14,-8%
2012-04-15 - 2012-04-21,-6%
2012-04-22 - 2012-04-28,-17%
2012-04-29 - 2012-05-05,-10%
2012-05-06 - 2012-05-12,-4%
2012-05-13 - 2012-05-19,-4%
2012-05-20 - 2012-05-26,-4%
2012-05-27 - 2012-06-02,-8%
2012-06-03 - 2012-06-09,-10%
2012-06-10 - 2012-06-16,-12%
2012-06-17 - 2012-06-23,-15%
2012-06-24 - 2012-06-30,-17%
2012-07-01 - 2012-07-07,-8%
2012-07-08 - 2012-07-14,-6%
2012-07-15 - 2012-07-21,+0%
2012-07-22 - 2012-07-28,-4%
2012-07-29 - 2012-08-04,-21%
2012-08-05 - 2012-08-11,-19%
2012-08-12 - 2012-08-18,-12%
2012-08-19 - 2012-08-25,-10%
2012-08-26 - 2012-09-01,-15%
2012-09-02 - 2012-09-08,-10%
2012-09-09 - 2012-09-15,-15%
2012-09-16 - 2012-09-22,-12%
2012-09-23 - 2012-09-29,-10%
2012-09-30 - 2012-10-06,-13%
2012-10-07 - 2012-10-13,-13%
2012-10-14 - 2012-10-20,-17%
2012-10-21 - 2012-10-27,-10%
2012-10-28 - 2012-11-03,-17%
2012-11-04 - 2012-11-10,-29%
2012-11-11 - 2012-11-17,-15%
2012-11-18 - 2012-11-24,-13%
2012-11-25 - 2012-12-01,-13%
2012-12-02 - 2012-12-08,-6%
2012-12-09 - 2012-12-15,+12%
2012-12-16 - 2012-12-22,-4%
2012-12-23 - 2012-12-29,-2%
2012-12-30 - 2013-01-05,-19%
2013-01-06 - 2013-01-12,-10%
2013-01-13 - 2013-01-19,-6%
2013-01-20 - 2013-01-26,-13%
2013-01-27 - 2013-02-02,-13%
2013-02-03 - 2013-02-09,-12%
2013-02-10 - 2013-02-16,-2%
2013-02-17 - 2013-02-23,-6%
2013-02-24 - 2013-03-02,+0%
2013-03-03 - 2013-03-09,+0%
2013-03-10 - 2013-03-16,-4%
2013-03-17 - 2013-03-23,-10%
2013-03-24 - 2013-03-30,-15%
2013-03-31 - 2013-04-06,-4%
2013-04-07 - 2013-04-13,-2%
2013-04-14 - 2013-04-20,-21%
2013-04-21 - 2013-04-27,-6%
2013-04-28 - 2013-05-04,-10%
2013-05-05 - 2013-05-11,-6%
2013-05-12 - 2013-05-18,+0%
2013-05-19 - 2013-05-25,-6%
2013-05-26 - 2013-06-01,-12%
2013-06-02 - 2013-06-08,-19%
2013-06-09 - 2013-06-15,-21%
2013-06-16 - 2013-06-22,-12%
2013-06-23 - 2013-06-29,-19%
2013-06-30 - 2013-07-06,-15%
2013-07-07 - 2013-07-13,-17%
2013-07-14 - 2013-07-20,+0%
2013-07-21 - 2013-07-27,+4%
2013-07-28 - 2013-08-03,+0%
2013-08-04 - 2013-08-10,-6%
2013-08-11 - 2013-08-17,-8%
2013-08-18 - 2013-08-24,-12%
2013-08-25 - 2013-08-31,+6%
2013-09-01 - 2013-09-07,-10%
2013-09-08 - 2013-09-14,-15%
2013-09-15 - 2013-09-21,-17%
2013-09-22 - 2013-09-28,-10%
2013-09-29 - 2013-10-05,-15%
2013-10-06 - 2013-10-12,-12%
2013-10-13 - 2013-10-19,-17%
2013-10-20 - 2013-10-26,-17%
2013-10-27 - 2013-11-02,-17%
2013-11-03 - 2013-11-09,-15%
2013-11-10 - 2013-11-16,-15%
2013-11-17 - 2013-11-23,-17%
2013-11-24 - 2013-11-30,-12%
2013-12-01 - 2013-12-07,-19%
2013-12-08 - 2013-12-14,-17%
2013-12-15 - 2013-12-21,-12%
2013-12-22 - 2013-12-28,-13%
2013-12-29 - 2014-01-04,-17%
2014-01-05 - 2014-01-11,-19%
2014-01-12 - 2014-01-18,-13%
2014-01-19 - 2014-01-25,-19%
2014-01-26 - 2014-02-01,-8%
2014-02-02 - 2014-02-08,-6%
2014-02-09 - 2014-02-15,-13%
2014-02-16 - 2014-02-22,-13%
2014-02-23 - 2014-03-01,-10%
2014-03-02 - 2014-03-08,-4%
2014-03-09 - 2014-03-15,-27%
2014-03-16 - 2014-03-22,-21%
2014-03-23 - 2014-03-29,-17%
2014-03-30 - 2014-04-05,-13%
2014-04-06 - 2014-04-12,-17%
2014-04-13 - 2014-04-19,-17%
2014-04-20 - 2014-04-26,-15%
2014-04-27 - 2014-05-03,-19%
2014-05-04 - 2014-05-10,-17%
2014-05-11 - 2014-05-17,-8%
2014-05-18 - 2014-05-24,-10%
2014-05-25 - 2014-05-31,-13%
2014-06-01 - 2014-06-07,-13%
2014-06-08 - 2014-06-14,-12%
2014-06-15 - 2014-06-21,-21%
2014-06-22 - 2014-06-28,-25%
2014-06-29 - 2014-07-05,-21%
2014-07-06 - 2014-07-12,-25%
2014-07-13 - 2014-07-19,-19%
2014-07-20 - 2014-07-26,-17%
2014-07-27 - 2014-08-02,-15%
2014-08-03 - 2014-08-09,-17%
2014-08-10 - 2014-08-16,+4%
2014-08-17 - 2014-08-23,-13%
2014-08-24 - 2014-08-30,-8%
2014-08-31 - 2014-09-06,-19%
2014-09-07 - 2014-09-13,-27%
2014-09-14 - 2014-09-20,-23%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 



Top searches
youtube,100
american idol,70
miley cyrus,65
music,45
robert pattinson,40
rihanna,40
chris brown,35
kristen stewart,35
selena gomez,30
michael jackson,30
movies,30
britney,30
taylor swift,30
lohan,30
britney spears,25
lady gaga,25
lindsay lohan,25
beyonce,25
netflix,25
kate middleton,25



Rising searches
kristen stewart,Breakout
lady gaga,Breakout
robert pattinson,Breakout
selena gomez,Breakout
rihanna,+2,050%
netflix,+1,550%
american idol,+1,250%
taylor swift,+1,050%
beyonce,+400%
michael jackson,+180%



