Web Search interest
United States; 2005

Interest over time
Week,Games
2005-01-02 - 2005-01-08,+0%
2005-01-09 - 2005-01-15,-1%
2005-01-16 - 2005-01-22,-3%
2005-01-23 - 2005-01-29,-8%
2005-01-30 - 2005-02-05,-8%
2005-02-06 - 2005-02-12,-12%
2005-02-13 - 2005-02-19,-9%
2005-02-20 - 2005-02-26,-3%
2005-02-27 - 2005-03-05,-9%
2005-03-06 - 2005-03-12,-8%
2005-03-13 - 2005-03-19,-6%
2005-03-20 - 2005-03-26,+0%
2005-03-27 - 2005-04-02,-1%
2005-04-03 - 2005-04-09,-4%
2005-04-10 - 2005-04-16,-10%
2005-04-17 - 2005-04-23,-6%
2005-04-24 - 2005-04-30,-5%
2005-05-01 - 2005-05-07,-5%
2005-05-08 - 2005-05-14,-3%
2005-05-15 - 2005-05-21,-1%
2005-05-22 - 2005-05-28,+3%
2005-05-29 - 2005-06-04,+5%
2005-06-05 - 2005-06-11,+1%
2005-06-12 - 2005-06-18,-1%
2005-06-19 - 2005-06-25,+1%
2005-06-26 - 2005-07-02,+1%
2005-07-03 - 2005-07-09,+1%
2005-07-10 - 2005-07-16,+3%
2005-07-17 - 2005-07-23,-1%
2005-07-24 - 2005-07-30,+1%
2005-07-31 - 2005-08-06,+1%
2005-08-07 - 2005-08-13,-3%
2005-08-14 - 2005-08-20,-4%
2005-08-21 - 2005-08-27,-4%
2005-08-28 - 2005-09-03,-9%
2005-09-04 - 2005-09-10,-4%
2005-09-11 - 2005-09-17,-5%
2005-09-18 - 2005-09-24,-8%
2005-09-25 - 2005-10-01,-6%
2005-10-02 - 2005-10-08,-5%
2005-10-09 - 2005-10-15,+1%
2005-10-16 - 2005-10-22,+6%
2005-10-23 - 2005-10-29,+1%
2005-10-30 - 2005-11-05,-1%
2005-11-06 - 2005-11-12,+5%
2005-11-13 - 2005-11-19,+4%
2005-11-20 - 2005-11-26,+30%
2005-11-27 - 2005-12-03,+5%
2005-12-04 - 2005-12-10,+3%
2005-12-11 - 2005-12-17,+5%
2005-12-18 - 2005-12-24,+19%
2005-12-25 - 2005-12-31,+29%



Top searches
games,100
game,55
cheats,50
xbox,30
lottery,25
warcraft,20
free games,20
poker,20
psp,15
online games,15
world of warcraft,15
runescape,15
wow,15
cheat codes,10
xbox 360,10
halo,10
playstation,10
sims,10
lotto,10
final fantasy,10



Rising searches
sudoku,Breakout
xbox 360,Breakout
battlefield 2,+1,400%
guild wars,+700%
psp,+600%
ps3,+550%
wow,+450%
world of warcraft,+200%
playstation 3,+160%
runescape,+120%



